Name,Address,Latitude,Longitude,Rating,User Ratings Total,Random_Score
King Food,"281 Broadway, Staten Island",40.634491,-74.117049,3.5,13,
Target Grocery,"1520 Forest Avenue, Staten Island",40.6239589,-74.1392272,4.7,3,
Stephenies Deli,"234 Jewett Avenue, Staten Island",40.63123840000001,-74.1308549,,0,
La Quebradita Supermarket,"405 Jersey Street, Staten Island",40.6386201,-74.0874163,4.1,16,
Castleton deli,"1400 Castleton Avenue, Staten Island",40.6337223,-74.1298559,5.0,2,
J yJ General Store,"233 Port Richmond Avenue, Staten Island",40.63561540000001,-74.1349054,4.2,13,
Mi Pueblo Meat Market Inc.,"189 Port Richmond Avenue, Staten Island",40.6365679,-74.13401200000001,3.9,16,
SuperFresh Bay Ridge,"242 Bay Ridge Avenue, Brooklyn",40.636009,-74.02721249999999,4.1,1022,
Bath Avenue Market Corporation,"1572 Bath Avenue, Brooklyn",40.6066064,-74.0111383,4.1,17,
Fei Long Market,"6301 8th Avenue, Brooklyn",40.6330565,-74.010881,3.8,2826,
Three Guys from Brooklyn,"6502 Fort Hamilton Parkway, Brooklyn",40.630632,-74.009585,4.4,812,
Met Fresh of Bay Ridge,"9606 3rd Avenue, Brooklyn",40.6165099,-74.034089,4.1,593,
Associated Fresh Of Bay Ridge-93rd St,"9310 4th Avenue, Brooklyn",40.6173884,-74.0308074,3.9,158,
The Food Emporium,"7510 5th Avenue, Brooklyn",40.6292963,-74.0230753,4.0,412,
Foodtown of Bay Ridge,"9105-27 3rd Avenue, Brooklyn",40.6198056,-74.03230730000001,4.2,2088,
Key Food Marketplace,"7414 3rd Avenue, Brooklyn",40.6317466,-74.02789899999999,4.0,611,
Jmart,"8121 New Utrecht Avenue, Brooklyn",40.6099243,-74.0014267,4.0,1982,
Dean Mini Market,"7224 13th Avenue, Brooklyn",40.6216693,-74.00631,4.2,27,
Green Food Supermarket,"8508 20th Avenue, Brooklyn",40.6051006,-73.99794899999999,3.9,127,
Key Food Supermarkets,"3485 Neptune Avenue, Brooklyn",40.5772486,-74.00182459999999,4.1,652,-24.0
La Bella Marketplace,"7907 13th Avenue, Brooklyn",40.61779240000001,-74.0098198,4.3,1124,
Key Food Supermarkets,"8772 18th Avenue, Brooklyn",40.6037808,-74.006501,4.0,824,43.0
Balady Halal Foods,"7128 5th Avenue, Brooklyn",40.6320636,-74.02190449999999,4.6,1067,
Vucciria Food & Gourmet,"2275 86th Street, Brooklyn",40.60100790000001,-73.9917202,4.0,597,
Almonte's Food Dynasty Supermarket,"1525 86th Street, Brooklyn",40.611361,-74.0083506,4.0,585,
Met Foodmarkets of Bay Ridge,"8210 5th Avenue, Brooklyn",40.6241348,-74.0250318,3.6,100,
Brooklyn Harvest Market,"8102 3rd Avenue, Brooklyn",40.6269874,-74.02997239999999,4.1,909,
Fort Hamilton Commissary,"115 White Avenue, Brooklyn",40.6115539,-74.0275539,4.5,175,
Gourmet Fresh,"530 86th Street, Brooklyn",40.620778,-74.0253899,3.9,189,
FalahiFarms,"8501 3rd Avenue, Brooklyn",40.6241544,-74.03050940000001,4.8,17,
Emily Farm Corp.,"8118 5th Avenue, Brooklyn",40.6246787,-74.0249463,4.5,6,
CTown Supermarket,"7918 3rd Avenue, Brooklyn",40.6282364,-74.0294218,4.3,24,
"DELI,GROCERY & BEER STORE","7826 3rd Avenue, Brooklyn",40.6287208,-74.0291336,3.9,27,
Greek Bakaliko Gourmet Food Market,"7615 5th Avenue, Brooklyn",40.6281895,-74.02286289999999,4.9,33,
17 gourmet deli grill. 24/7,"1702 86th Street, Brooklyn",40.6084041,-74.0048736,4.6,12,
Karelia,"2010 Cropsey Avenue, Brooklyn",40.59981030000001,-74.00277899999999,4.3,6,
MPY International Food,"2010 Cropsey Avenue, Brooklyn",40.5998164,-74.00277009999999,4.1,16,
Key Food Supermarkets,"2014 Cropsey Avenue, Brooklyn",40.5997662,-74.00252789999999,3.7,83,-21.0
Star Market,"1772 86th Street, Brooklyn",40.6072066,-74.0031578,4.0,206,
18th Ave Supermarket,"1811 86th Street, Brooklyn",40.6071663,-74.0021343,3.0,26,
Mong Kok Supermarket,"1815 86th Street, Brooklyn",40.60708169999999,-74.0020428,3.4,117,
Skyway Supermarket,"2001 Bath Avenue, Brooklyn",40.6013537,-74.00114020000001,4.0,62,
Target Grocery,"8973-95 Bay Parkway, Brooklyn",40.5933704,-74.00108709999999,3.7,13,
Capitan Supermarkets,"1880 86th Street, Brooklyn",40.60591929999999,-74.0007483,2.4,10,
7201 Fort Hamilton Pkwy Food Corp.,"7201 Fort Hamilton Parkway, Brooklyn",40.6270529,-74.0142834,3.9,8,
ALOSRA MARKET,"7013 3rd Avenue, Brooklyn",40.6344653,-74.0264053,4.7,28,
Zaitoon Halal Meat & Grocery,"1082 Coney Island Avenue, Brooklyn",40.6312113,-73.9667827,4.1,241,
National Wholesale Liquidators,"2201 59th Street, Brooklyn",40.61712709999999,-73.9772152,4.0,2082,
Paperific Supermarket,"1482 Coney Island Avenue, Brooklyn",40.621345,-73.964822,4.6,261,
Mountain Fruit of Ave. M,"1523 Avenue M, Brooklyn",40.61822,-73.959285,4.4,512,
Pomegranate Supermarket,"1507 Coney Island Avenue, Brooklyn",40.6206474,-73.9639969,4.5,2121,
KRM Kollel Supermarket,"1325 39th Street, Brooklyn",40.64043,-73.9854749,4.6,1746,
CTown Supermarkets,"6614 18th Avenue, Brooklyn",40.6183001,-73.9912269,3.9,410,
Associated Supermarkets of Midwood,"480 Avenue P, Brooklyn",40.6090097,-73.9696341,3.2,41,
Food Universe Marketplace,"237-243 Avenue U, Brooklyn",40.5968732,-73.9754816,4.1,369,
Super 13,"5214 13th Avenue, Brooklyn",40.6331255,-73.9943289,4.7,383,
Breadberry,"1689 60th Street, Brooklyn",40.6238994,-73.9895516,4.6,1470,
Jerusalem Glatt Meat,"710 Kings Highway, Brooklyn",40.6061437,-73.9652104,4.4,83,
Scaturro Supermarkets,"6301 11th Avenue, Brooklyn",40.6292643,-74.0048794,4.1,486,
Biedronka,"5703 New Utrecht Avenue, Brooklyn",40.62966999999999,-73.995694,4.3,206,
Chang Fa Food Market,"1418 Avenue U, Brooklyn",40.59858999999999,-73.9566651,3.9,283,
Parkville Food Center,"109 Lawrence Avenue, Brooklyn",40.6301513,-73.97501600000001,4.6,113,
Organic Circle,"1415 Avenue M, Brooklyn",40.6180943,-73.96045819999999,4.3,248,
Glatt Mart,"1205 Avenue M, Brooklyn",40.6178385,-73.9626468,4.5,916,
Certo Market,"1274 39th Street, Brooklyn",40.6407025,-73.9867068,4.6,1413,
Ocean Bay Market,"2424 Coney Island Avenue, Brooklyn",40.59754,-73.961446,4.0,504,
American Grocery Outlet,"2914 Coney Island Avenue, Brooklyn",40.5853694,-73.9606278,4.5,36,
GSA King Tomato Farm Inc.,"1140 McDonald Avenue, Brooklyn",40.6253065,-73.9763816,4.4,291,
Paperific Supermarket,"1465 38th Street, Brooklyn",40.639037,-73.981608,4.6,320,
Ocean Fruit & Supermarket Inc,"1986 Ocean Avenue, Brooklyn",40.6133421,-73.95437390000001,4.6,173,
Cherry Hill Gourmet (Ave U),"2613 Avenue U, Brooklyn",40.600221,-73.9449527,4.3,620,
Best Buy International Food,"411 Brighton Beach Avenue, Brooklyn",40.5776414,-73.96298089999999,4.3,214,
Seaport Seafood & Meat Market Inc,"5705 8th Avenue, Brooklyn",40.6369208,-74.0078892,1.0,2,
Moisha's Supermarket,"315 Avenue M, Brooklyn",40.6169444,-73.9719444,4.3,684,
V&W Supermarket 樂樂超級市場,"2502 86th Street, Brooklyn",40.5975447,-73.98707639999999,3.8,445,
"Avi Glatt, Inc.","805 Avenue U, Brooklyn",40.5982787,-73.9627795,3.9,110,
NG Supermarket,"507 Cortelyou Road, Brooklyn",40.6385842,-73.9742957,3.8,55,
Fruits-A-Plenty Inc,"1507 Kings Highway, Brooklyn",40.6089979,-73.9580321,4.3,58,
Bensonhurst Market,"7215 20th Avenue, Brooklyn",40.61204800000001,-73.9902713,3.7,357,
Flatbush Food Co-op,"1415 Cortelyou Road, Brooklyn",40.6412976,-73.96471989999999,4.3,1086,
Pathmark,"1525 Albany Avenue, Brooklyn",40.6355027,-73.9368326,4.3,598,
ALDI,"3785 Nostrand Avenue, Brooklyn",40.59125339999999,-73.9397973,4.2,2902,
Food Universe Marketplace,"2424 Flatbush Avenue, Brooklyn",40.61077410000001,-73.92405959999999,4.0,684,
Mill Basin Shuk,"6324 Avenue N, Brooklyn",40.61944899999999,-73.916378,4.6,126,
Ideal Food Basket of East Midwood,"1967 Flatbush Avenue, Brooklyn",40.621956,-73.93592029999999,4.2,462,
Key Food Supermarkets,"5101 Avenue N, Brooklyn",40.6192964,-73.9252593,4.2,743,-45.0
Food Way,"Georgetowne Shopping Center, 2149 Ralph Avenue, Brooklyn",40.626094,-73.9158982,4.2,1642,
Wolf's Grocery,"2362 Nostrand Avenue, Brooklyn",40.6272087,-73.9471422,4.5,63,
Cherry Hill Gourmet Inc,"1901 Emmons Avenue, Brooklyn",40.5838861,-73.9487833,4.2,968,
CTown Supermarkets,"1761 Nostrand Avenue, Brooklyn",40.642808,-73.9484071,4.0,222,
Key Food Supermarkets,"505 Neptune Avenue, Brooklyn",40.58002889999999,-73.9722852,4.2,672,42.0
Key Food Supermarkets,"319 Kings Highway, Brooklyn",40.6051624,-73.97838,4.0,996,11.0
Key Food Supermarkets,"2245 Gerritsen Avenue #1154, Brooklyn",40.60122550000001,-73.9340533,4.0,1057,144.0
Key Food Supermarket - Avenue Z,"599 Avenue Z, Brooklyn",40.58645009999999,-73.9717926,4.0,943,
Cherry Hill Market,"2284 86th Street #1, Brooklyn",40.600605,-73.9919204,4.0,540,
Kosher Palace Supermarket,"2818 Avenue U, Brooklyn",40.600088,-73.943144,4.5,425,
Key Food Supermarkets,"6620 Avenue U, Brooklyn",40.6172155,-73.909436,4.3,735,120.0
CTown Supermarkets,"2807-15 86th Street, Brooklyn",40.5930188,-73.97862409999999,3.7,214,
Key Food Supermarkets,"2326 Nostrand Avenue, Brooklyn",40.62776749999999,-73.94732309999999,4.0,683,112.0
Key Food Supermarkets,"1610 Cortelyou Road, Brooklyn",40.6415845,-73.9632507,4.1,573,36.0
Ideal Food Basket,"1871 Rockaway Parkway, Brooklyn",40.6369268,-73.8921472,4.2,275,
Key Food Supermarkets,"2066 Rockaway Parkway #47, Brooklyn",40.6324644,-73.8888707,3.8,842,149.0
Foodtown,"1958-66 Ralph Avenue, Brooklyn",40.6298691,-73.9189894,4.0,1840,
Key Food Supermarkets,"1804 Ralph Avenue, Brooklyn",40.6331516,-73.9190485,4.1,833,-31.0
Gourmet Boutique,"3688 Nostrand Avenue, Brooklyn",40.594089,-73.94096549999999,4.2,420,
Target Grocery,"5100 Kings Plaza Ste 2201, Brooklyn",40.6087292,-73.92036130000001,,0,
CTown Supermarkets,"7924 Flatlands Avenue, Brooklyn",40.63523300000001,-73.9133283,3.8,390,
Family Dollar,"1975 Utica Avenue, Brooklyn",40.6237693,-73.9269348,3.8,33,
Met Foodmarkets of Marine Park,"3404 Quentin Road, Brooklyn",40.6136576,-73.9379567,4.2,108,
Supermarket Of Ave N inc,"3524 Flatlands Avenue, Brooklyn",40.6176803,-73.9404249,4.5,173,
Produce Market 2000,"2518 Avenue U, Brooklyn",40.5997687,-73.9459229,4.3,737,
CTown Supermarket,"7812 Flatlands Avenue, Brooklyn",40.6345317,-73.9138426,5.0,1,
Deirdre Maeve's Supermarket,"202-36 Rockaway Point Boulevard, Breezy Point",40.5614151,-73.9124215,3.8,74,
Hana Market,"8002 Flatlands Avenue, Brooklyn",40.63551599999999,-73.912708,4.8,42,
Super Flat 99¢ Plus,"8123 Flatlands Avenue, Brooklyn",40.6364678,-73.912111,5.0,2,
Shop Smart Supermarket,"8123 Flatlands Avenue # B, Brooklyn",40.6365082,-73.91226069999999,3.9,18,
Shop Smart Kosher Supermarket,"2640 Nostrand Avenue, Brooklyn",40.62012800000001,-73.945921,4.3,453,
Sheepshead Bay Marketplace,"1717 Avenue Z, Brooklyn",40.5883695,-73.9518068,4.4,1591,
Target Grocery,"5200 Kings Highway Ste A, Brooklyn",40.63627040000001,-73.92707349999999,4.7,7,
Amoco,"1760 Flatbush Avenue, Brooklyn",40.62700899999999,-73.94184059999999,5.0,4,
Easy Shop Supermarket Inc. 欣榮超市,"1520 Avenue U, Brooklyn",40.5987005,-73.9556138,3.4,7,
Amoco,"4102 Avenue H, Brooklyn",40.632197,-73.936672,4.0,6,
Portokali Gourmet Market,"1509 Sheepshead Bay Road, Brooklyn",40.587381,-73.953667,4.5,919,
Bay Fresh Supermarket Inc,"1510 Sheepshead Bay Road, Brooklyn",40.587075,-73.9535933,4.0,13,
Domino Supermarket,"1824 Kings Highway, Brooklyn",40.61000000000001,-73.95479999999999,3.8,877,
Gmor Supermarket,"1569 Avenue S, Brooklyn",40.6039201,-73.9561367,,0,
DOLLAR TOWN,"1808 Kings Highway, Brooklyn",40.609913,-73.9551755,3.3,18,
Green Forest Market at Kings Highway,"1717 Kings Highway, Brooklyn",40.6099605,-73.9559201,4.3,528,
Deirdre Maeve's Summer Store,Queens,40.5589878,-73.91995779999999,,0,
Big Banana,"1709 Kings Highway, Brooklyn",40.6098338,-73.9561619,4.1,334,
L & J Supermarket II Inc.,"1252 Avenue U, Brooklyn",40.5983773,-73.9583571,4.4,7,
勝興超級市場 A&C Seafood & Meat Market,"1237 Avenue U, Brooklyn",40.5987829,-73.95864449999999,3.9,123,
OKKA FOODS MARKET,"1524 Kings Highway, Brooklyn",40.60877929999999,-73.9575194,4.9,1366,
Avenue I,"1667 Flatbush Avenue, Brooklyn",40.6298283,-73.9441183,,0,
Halal Products,"1667 Flatbush Avenue, Brooklyn",40.6297732,-73.94418650000001,5.0,1,
Key Food Supermarkets,"87-15 Rockaway Beach Boulevard, Far Rockaway",40.58696459999999,-73.8125896,3.8,855,116.0
AAA,"69-15 Beach Channel Drive, Far Rockaway",40.59256329999999,-73.7989125,4.7,53,
Food Universe,"32-11 Beach Channel Drive, Far Rockaway",40.5982026,-73.7660006,4.0,598,
Rockaway Kosher Supermarket,"1913 Cornaga Avenue, Far Rockaway",40.60209640000001,-73.7519612,4.6,342,
Shop Fair of Cornaga,"1801 Cornaga Avenue, Far Rockaway",40.602473,-73.749737,3.7,105,
Three Brothers Meat Market,"1326 Central Avenue, Far Rockaway",40.6070484,-73.7499342,4.4,165,
Mango Hills Supermarket,"290 Beach 14th Street, Far Rockaway",40.59795450000001,-73.74809979999999,3.8,56,
Key Food Supermarkets,"2020 New Haven Avenue, Far Rockaway",40.6010937,-73.75431499999999,4.1,762,114.0
Newway Supermarket,"58-14 Beach Channel Drive, Arverne",40.5943395,-73.78889280000001,3.8,210,
SuperFresh Arverne,"5725 Beach 56th Place, Arverne",40.59182070000001,-73.7876989,,0,
Polo Supermarket,"22-18 Mott Avenue, Far Rockaway",40.6055399,-73.7557745,4.1,193,
Shop Fair of Wavecrest,"245 Beach 20th Street, Far Rockaway",40.5965906,-73.7547984,3.9,286,
Shop Fair of Beach Channel,"13-29 Beach Channel Drive, Far Rockaway",40.6060608,-73.7549937,4.0,438,
Inwood Discount Supermarket,"414 Bayview Avenue, Inwood",40.6146188,-73.7521415,3.4,16,
City Market Fresh,"290 Beach 14th Street, Far Rockaway",40.59795079999999,-73.7479575,4.1,30,
Inwood Deli & Grocery,"83 Doughty Boulevard, Inwood",40.6140804,-73.7462058,4.2,78,
Gourmet Glatt Cedarhurst,"137 Spruce Street, Cedarhurst",40.6216047,-73.72627659999999,4.4,391,
Seasons Lawrence - Kosher Supermarket,"330 Central Avenue, Lawrence",40.6178316,-73.7298776,4.5,672,
Express Market & Deli productos centroamericanos,"1 Clinton Avenue, Inwood",40.6162692,-73.738869,4.8,20,
KolSave Market,"11 Lawrence Lane, Lawrence",40.625312,-73.7378889,4.6,509,
Target Grocery,"345 Rockaway Turnpike, Lawrence",40.6263352,-73.73840799999999,3.8,5,
Key Food Supermarkets,"1080 West Beech Street, Long Beach",40.5858749,-73.7002522,4.3,190,37.0
ShopRite of Bayonne-26 Street,"583-9 Avenue C &, West 26th Street, Bayonne",40.6674174,-74.1189846,4.2,3349,
Shop Smart,"368 Broadway # A, Bayonne",40.6596298,-74.1217053,4.0,16,
Karun Deli and Grocery,"1224 John F. Kennedy Boulevard, Bayonne",40.6888562,-74.1057369,3.7,31,
Jeffrey Supermarket,"102 Ocean Avenue, Jersey City",40.691999,-74.094634,4.1,37,
Mexico Supermarket Monte Alban,"170 Port Richmond Avenue, Staten Island",40.6370618,-74.1343849,4.3,223,
Aquí Market Garfield Ave,"2-16 Garfield Avenue, Jersey City",40.6852943,-74.0984402,3.9,889,
Teddy’s Place,"5 West 25th Street, Bayonne",40.6658932,-74.11711280000002,4.5,471,
CTown Supermarkets,"782 Broadway, Bayonne",40.6738303,-74.1096204,4.1,414,
Met Fresh of Bayonne,"400 Broadway, Bayonne",40.66069280000001,-74.1206535,4.7,28,
Lidl,"20 Goldsborough Drive, Bayonne",40.6707,-74.10705,4.4,880,
FOOD BAZAAR,"480-500 Van Brunt Street, Brooklyn",40.6742174,-74.01702159999999,4.4,3024,
CTown Supermarkets,"4705 5th Avenue, Brooklyn",40.6465052,-74.0085189,4.0,1079,
Marketa Los Fernández,"5013 5th Avenue, Brooklyn",40.6447007,-74.0103809,3.8,443,
City Fresh Market,"5009 6th Avenue, Brooklyn",40.6434531,-74.0081944,4.1,482,
La Placita de Brooklyn,"4219 8th Avenue, Brooklyn",40.64510999999999,-73.999293,4.3,332,
Associated Supermarkets of Red Hook,"58 Lorraine Street, Brooklyn",40.6742565,-74.0074731,3.9,169,
CTown Supermarkets,"57 Mill Street, Brooklyn",40.6759883,-74.0044296,3.8,254,
Pioneer Supermarkets of Sunset Park,"5612 5th Avenue, Brooklyn",40.6415798,-74.0142589,4.1,469,
La Dominicana,"4523 6th Avenue, Brooklyn",40.6459847,-74.0055412,4.1,21,
Circus Fruits,"5915 Fort Hamilton Parkway, Brooklyn",40.6330605,-74.0052855,4.2,1349,
Key Food Supermarkets,"4320 5th Avenue, Brooklyn",40.648838,-74.0067749,3.9,805,-36.0
Bravo Supermarkets,"4808 4th Avenue, Brooklyn",40.64754869999999,-74.0119917,4.0,398,
Bravo Fresh Meat Market,"5822 4th Avenue, Brooklyn",40.6417281,-74.0179414,3.5,182,
Fei Long Market,"4423 8th Avenue, Brooklyn",40.6438638,-74.0005039,3.6,213,
Valdez Supermarket,"5301 4th Avenue, Brooklyn",40.64457180000001,-74.0141759,,0,
Green Village Supermarket,"5801 4th Avenue, Brooklyn",40.6418044,-74.0171585,4.0,27,
Food Universe Marketplace,"4118 3rd Avenue, Brooklyn",40.65253089999999,-74.0101646,3.9,102,
Pal Supermarket,"4421 4th Avenue, Brooklyn",40.6492565,-74.0093323,4.6,54,
Forum Supermarket,"6501 7th Avenue, Brooklyn",40.63356390000001,-74.0147322,3.6,321,
King Mei Supermarket,"5101 6th Avenue, Brooklyn",40.64302199999999,-74.00859299999999,4.1,7,
LANG QI FOODS SUPERMARKET,"710 57th Street, Brooklyn",40.6382617,-74.0097914,3.1,14,
El Rancho Nuevo Supermarket,"4401 5th Avenue, Brooklyn",40.648212,-74.0066499,4.5,34,
Japan Village,"934 3rd Avenue, Brooklyn",40.656103,-74.0064373,4.5,4195,
HL Supermarket,"6722 Fort Hamilton Parkway, Brooklyn",40.6295889,-74.0117346,3.9,1060,
Shun Fa Seafood Market Inc.,"5724 8th Avenue, Brooklyn",40.6367933,-74.00844219999999,2.9,20,
Green Product Market,"5706 8th Avenue, Brooklyn",40.6371334,-74.0081732,2.3,3,
Five United Market,"5704 8th Avenue, Brooklyn",40.6371579,-74.0080747,3.0,9,
Wing Sing Food Inc,"5615 8th Avenue, Brooklyn",40.6373048,-74.0074042,,0,
EZ Fresh,"863 65th Street, Brooklyn",40.6318581,-74.0106761,3.5,57,
Trader Joe's,"130 Court Street, Brooklyn",40.6895837,-73.9928699,4.5,5948,
Brooklyn Fare,"200 Schermerhorn Street, Brooklyn",40.68877820000001,-73.9858627,4.2,923,
Union Market,"754-756 Union Street, Brooklyn",40.67526300000001,-73.9778591,4.1,237,
Key Food Urban Marketplace,"130 7th Avenue, Brooklyn",40.6731003,-73.9767893,4.0,583,
Union Market,"402-404 7th Avenue, Brooklyn",40.66472220000001,-73.98361109999999,4.2,407,
CTown Supermarkets,"1362 Nostrand Avenue, Brooklyn",40.6534195,-73.9501435,4.1,314,
Key Food Supermarkets,"1232 Nostrand Avenue, Brooklyn",40.6570087,-73.9504937,3.8,531,72.0
Western Beef Supermarket,"44 Empire Boulevard, Brooklyn",40.6630554,-73.9597244,3.8,856,
Windsor Farms Market,"589 Prospect Avenue, Brooklyn",40.6567622,-73.9775432,4.2,515,
Market Place By Key Food,"615 5th Avenue, Brooklyn",40.6636071,-73.990684,4.3,269,
Ideal Fresh Market of Church Ave,"1301 Church Avenue, Brooklyn",40.64788789999999,-73.9673763,3.7,265,
Whole Foods Market,"214 3rd Street, Brooklyn",40.67489279999999,-73.98878789999999,4.4,4286,
Key Food Supermarkets,"786 Flatbush Avenue, Brooklyn",40.6536341,-73.9596795,3.9,455,65.0
La Venezolana Corporation,"654 Sackett Street, Brooklyn",40.678054,-73.98330399999999,1.7,6,
Brooklyn's Natural Deli,"2126-2130 Caton Avenue, Brooklyn",40.65269389999999,-73.959694,4.0,206,
Foodtown of Kensington,"382 McDonald Avenue, Brooklyn",40.6447525,-73.9801559,4.1,1492,
Foodtown of Prospect Heights,"632 Vanderbilt Avenue, Brooklyn",40.677299,-73.969338,4.3,1062,
BK Bagel & Deli,"719 Washington Avenue, Brooklyn",40.6753059,-73.9631318,4.6,155,
Superior Market,"1519 Nostrand Avenue, Brooklyn",40.6490542,-73.9492294,4.0,15,
Ideal Food Basket,"720 Washington Avenue, Brooklyn",40.676279,-73.963638,3.9,574,
CTown Supermarkets,"329 9th Street, Brooklyn",40.6690087,-73.9853759,4.1,695,
Associated Fresh of Park Slope,"216 5th Avenue, Brooklyn",40.6761589,-73.9809598,4.3,305,
Urban Market by Key Food,"651 Nostrand Avenue, Brooklyn",40.67486679999999,-73.9498687,3.9,699,
Super Foodtown,"1420 Fulton Street, Brooklyn",40.6797,-73.9444,4.1,3457,
FOOD BAZAAR,"1682 Saint Johns Place, Brooklyn",40.6698188,-73.9215613,4.1,2672,
Fine Fare Supermarket,"381 Mother Gaston Boulevard, Brooklyn",40.6697215,-73.90628699999999,3.8,321,
Associated Fresh of East Flatbush,"4121 Church Avenue, Brooklyn",40.6515153,-73.9382948,3.8,170,
Food Universe Marketplace,"405 Remsen Avenue, Brooklyn",40.6560189,-73.9231688,3.7,125,
Ideal Food Basket of Crown Heights,"1410 Saint Johns Place, Brooklyn",40.67045389999999,-73.93161169999999,3.9,683,
Food Universe Marketplace,"1720 Atlantic Avenue, Brooklyn",40.6770276,-73.9338326,4.0,273,
CTown Supermarkets,"29 Belmont Avenue, Brooklyn",40.6687538,-73.9093188,3.7,211,
Ideal Food Basket of Gates Ave,"631 Gates Avenue, Brooklyn",40.6873757,-73.9414883,4.0,617,
Key Food Supermarkets,"991 Fulton Street, Brooklyn",40.6829149,-73.9633123,3.9,319,96.0
Halsey Traders Market,"587 Halsey Street, Brooklyn",40.6843076,-73.92901169999999,3.9,362,
America's Food Basket of Atlantic Ave,"2220 Atlantic Avenue, Brooklyn",40.6759927,-73.9122837,4.1,852,
Foodtown of Crown Heights,"905-13 Franklin Avenue, Brooklyn",40.66751799999999,-73.958783,4.1,726,
Golden Farms Supermarket,"416 Crescent Street, Brooklyn",40.6783718,-73.8710342,4.1,669,
City Fresh Market,"655 Stanley Avenue, Brooklyn",40.659381,-73.884292,4.1,355,
City Fresh Supermarket.,"1380 Pennsylvania Avenue, Brooklyn",40.6467159,-73.88380409999999,3.9,480,
Farm Country of East New York,"2205 Linden Boulevard, Brooklyn",40.6630834,-73.8813718,4.1,1744,
FOOD BAZAAR,"417 Junius Street, Brooklyn",40.6651322,-73.90162360000001,4.2,5030,
CTown Supermarkets,"2869 Fulton Street, Brooklyn",40.67896619999999,-73.8884446,3.8,413,
Cherry Valley Marketplace,"1115 Granville Payne Avenue, Brooklyn",40.65359979999999,-73.88647069999999,3.9,799,
Fine Fare Supermarkets,"602 Livonia Avenue, Brooklyn",40.6645438,-73.8947503,3.9,290,
ShopRite of Gateway Center,"590 Gateway Drive, Brooklyn",40.6551427,-73.8688014,4.4,5632,
Bravo Supermarkets,"3008 Fulton Street, Brooklyn",40.6800573,-73.88353579999999,3.9,354,
Fine Fare Supermarkets,"675 Lincoln Avenue, Brooklyn",40.6731825,-73.86631799999999,4.1,406,
Key Food Supermarkets,"1533 Broadway, Brooklyn",40.68654950000001,-73.9164174,3.6,372,34.0
Pioneer Supermarkets of Bushwick,"1657 Broadway, Brooklyn",40.6846684,-73.9132482,3.6,412,
Golden Farms,"101-16 77th Street, Ozone Park",40.6796684,-73.8610229,4.2,1099,
Pioneer Supermarkets of Cypress Hills,"3461 Fulton Street, Brooklyn",40.68509600000001,-73.867918,3.9,75,
Green Acre Farms,"1160 Utica Avenue, Brooklyn",40.6441691,-73.9297612,4.2,353,
Associated Supermarkets of Bed-Stuy,"1888 Fulton Street, Brooklyn",40.6788333,-73.9238118,3.9,559,
Food World Supermarket,"935 East 107th Street, Brooklyn",40.6477716,-73.89238929999999,4.1,741,
Empire Kosher Supermarket,"529 Empire Boulevard, Brooklyn",40.6643913,-73.94446900000001,4.5,1191,
