Name,Address,Latitude,Longitude,Rating,User Ratings Total,Income,Density
La Quebradita Supermarket,"405 Jersey Street, Staten Island",40.6386201,-74.0874163,4.1,16,"$72,727 ",1900.704347826087
Castleton deli,"1400 Castleton Avenue, Staten Island",40.6337223,-74.1298559,5.0,2,"$72,727 ",1900.704347826087
J yJ General Store,"233 Port Richmond Avenue, Staten Island",40.63561540000001,-74.1349054,4.2,13,"$72,727 ",1900.704347826087
Mi Pueblo Meat Market Inc.,"189 Port Richmond Avenue, Staten Island",40.6365679,-74.13401200000001,3.9,16,"$72,727 ",1900.704347826087
SuperFresh Bay Ridge,"242 Bay Ridge Avenue, Brooklyn",40.636009,-74.02721249999999,4.1,1022,"$73,633 ",1793.8184438040344
Bath Avenue Market Corporation,"1572 Bath Avenue, Brooklyn",40.6066064,-74.0111383,4.1,17,"$55,977 ",2622.2046109510084
Fei Long Market,"6301 8th Avenue, Brooklyn",40.6330565,-74.010881,3.8,2826,"$57,754 ",2757.665706051873
Three Guys from Brooklyn,"6502 Fort Hamilton Parkway, Brooklyn",40.630632,-74.009585,4.4,812,"$57,754 ",2757.665706051873
Met Fresh of Bay Ridge,"9606 3rd Avenue, Brooklyn",40.6165099,-74.034089,4.1,593,"$73,633 ",1793.8184438040344
Associated Fresh Of Bay Ridge-93rd St,"9310 4th Avenue, Brooklyn",40.6173884,-74.0308074,3.9,158,"$73,633 ",1793.8184438040344
The Food Emporium,"7510 5th Avenue, Brooklyn",40.6292963,-74.0230753,4.0,412,"$73,633 ",1793.8184438040344
Foodtown of Bay Ridge,"9105-27 3rd Avenue, Brooklyn",40.6198056,-74.03230730000001,4.2,2088,"$73,633 ",1793.8184438040344
bp,"1601 86th Street, Brooklyn",40.610169,-74.00700499999999,1.9,21,"$55,977 ",2622.2046109510084
Key Food Marketplace,"7414 3rd Avenue, Brooklyn",40.6317466,-74.02789899999999,4.0,611,"$73,633 ",1793.8184438040344
bp,"6401 4th Avenue, Brooklyn",40.6383202,-74.0207136,3.1,52,"$73,633 ",1793.8184438040344
Jmart,"8121 New Utrecht Avenue, Brooklyn",40.6099243,-74.0014267,4.0,1982,"$55,977 ",2622.2046109510084
Dean Mini Market,"7224 13th Avenue, Brooklyn",40.6216693,-74.00631,4.2,27,"$55,977 ",2622.2046109510084
Green Food Supermarket,"8508 20th Avenue, Brooklyn",40.6051006,-73.99794899999999,3.9,127,"$55,977 ",2622.2046109510084
bp,"8775 Bay Parkway, Brooklyn",40.5982281,-73.9973962,3.1,36,"$55,977 ",2622.2046109510084
bp,"802 65th Street, Brooklyn",40.6323031,-74.0124501,2.3,62,"$73,633 ",1793.8184438040344
Key Food Supermarkets,"3485 Neptune Avenue, Brooklyn",40.5772486,-74.00182459999999,4.1,652,"$41,541 ",1502.564841498559
bp,"1781 Bay Ridge Parkway, Brooklyn",40.613709,-73.996049,4.1,105,"$55,977 ",2622.2046109510084
La Bella Marketplace,"7907 13th Avenue, Brooklyn",40.61779240000001,-74.0098198,4.3,1124,"$55,977 ",2622.2046109510084
Key Food Supermarkets,"8772 18th Avenue, Brooklyn",40.6037808,-74.006501,4.0,824,"$55,977 ",2622.2046109510084
Balady Halal Foods,"7128 5th Avenue, Brooklyn",40.6320636,-74.02190449999999,4.6,1067,"$73,633 ",1793.8184438040344
Vucciria Food & Gourmet,"2275 86th Street, Brooklyn",40.60100790000001,-73.9917202,4.0,597,"$55,977 ",2622.2046109510084
Almonte's Food Dynasty Supermarket,"1525 86th Street, Brooklyn",40.611361,-74.0083506,4.0,585,"$55,977 ",2622.2046109510084
Met Foodmarkets of Bay Ridge,"8210 5th Avenue, Brooklyn",40.6241348,-74.0250318,3.6,100,"$73,633 ",1793.8184438040344
Brooklyn Harvest Market,"8102 3rd Avenue, Brooklyn",40.6269874,-74.02997239999999,4.1,909,"$73,633 ",1793.8184438040344
Fort Hamilton Commissary,"115 White Avenue, Brooklyn",40.6115539,-74.0275539,4.5,175,"$73,633 ",1793.8184438040344
Gourmet Fresh,"530 86th Street, Brooklyn",40.620778,-74.0253899,3.9,189,"$73,633 ",1793.8184438040344
FalahiFarms,"8501 3rd Avenue, Brooklyn",40.6241544,-74.03050940000001,4.8,17,"$73,633 ",1793.8184438040344
Emily Farm Corp.,"8118 5th Avenue, Brooklyn",40.6246787,-74.0249463,4.5,6,"$73,633 ",1793.8184438040344
CTown Supermarket,"7918 3rd Avenue, Brooklyn",40.6282364,-74.0294218,4.3,24,"$73,633 ",1793.8184438040344
"DELI,GROCERY & BEER STORE","7826 3rd Avenue, Brooklyn",40.6287208,-74.0291336,3.9,27,"$73,633 ",1793.8184438040344
Greek Bakaliko Gourmet Food Market,"7615 5th Avenue, Brooklyn",40.6281895,-74.02286289999999,4.9,33,"$73,633 ",1793.8184438040344
17 gourmet deli grill. 24/7,"1702 86th Street, Brooklyn",40.6084041,-74.0048736,4.6,12,"$55,977 ",2622.2046109510084
Karelia,"2010 Cropsey Avenue, Brooklyn",40.59981030000001,-74.00277899999999,4.3,6,"$55,977 ",2622.2046109510084
MPY International Food,"2010 Cropsey Avenue, Brooklyn",40.5998164,-74.00277009999999,4.1,16,"$55,977 ",2622.2046109510084
Key Food Supermarkets,"2014 Cropsey Avenue, Brooklyn",40.5997662,-74.00252789999999,3.7,83,"$55,977 ",2622.2046109510084
Star Market,"1772 86th Street, Brooklyn",40.6072066,-74.0031578,4.0,206,"$55,977 ",2622.2046109510084
18th Ave Supermarket,"1811 86th Street, Brooklyn",40.6071663,-74.0021343,3.0,26,"$55,977 ",2622.2046109510084
Mong Kok Supermarket,"1815 86th Street, Brooklyn",40.60708169999999,-74.0020428,3.4,117,"$55,977 ",2622.2046109510084
Skyway Supermarket,"2001 Bath Avenue, Brooklyn",40.6013537,-74.00114020000001,4.0,62,"$55,977 ",2622.2046109510084
Target Grocery,"8973-95 Bay Parkway, Brooklyn",40.5933704,-74.00108709999999,3.7,13,"$55,977 ",2622.2046109510084
Capitan Supermarkets,"1880 86th Street, Brooklyn",40.60591929999999,-74.0007483,2.4,10,"$55,977 ",2622.2046109510084
7201 Fort Hamilton Pkwy Food Corp.,"7201 Fort Hamilton Parkway, Brooklyn",40.6270529,-74.0142834,3.9,8,"$73,633 ",1793.8184438040344
ALOSRA MARKET,"7013 3rd Avenue, Brooklyn",40.6344653,-74.0264053,4.7,28,"$73,633 ",1793.8184438040344
bp,"2620 86th Street, Brooklyn",40.5962729,-73.9848444,2.7,81,"$55,977 ",2622.2046109510084
bp,"1105 60th Street, Brooklyn",40.6314988,-74.002595,2.9,44,"$57,754 ",2757.665706051873
Zaitoon Halal Meat & Grocery,"1082 Coney Island Avenue, Brooklyn",40.6312113,-73.9667827,4.1,241,"$66,097 ",2315.0432276657057
National Wholesale Liquidators,"2201 59th Street, Brooklyn",40.61712709999999,-73.9772152,4.0,2082,"$55,977 ",2622.2046109510084
Paperific Supermarket,"1482 Coney Island Avenue, Brooklyn",40.621345,-73.964822,4.6,261,"$66,097 ",2315.0432276657057
Mountain Fruit of Ave. M,"1523 Avenue M, Brooklyn",40.61822,-73.959285,4.4,512,"$66,097 ",2315.0432276657057
Pomegranate Supermarket,"1507 Coney Island Avenue, Brooklyn",40.6206474,-73.9639969,4.5,2121,"$66,097 ",2315.0432276657057
KRM Kollel Supermarket,"1325 39th Street, Brooklyn",40.64043,-73.9854749,4.6,1746,"$57,754 ",2757.665706051873
CTown Supermarkets,"6614 18th Avenue, Brooklyn",40.6183001,-73.9912269,3.9,410,"$55,977 ",2622.2046109510084
Associated Supermarkets of Midwood,"480 Avenue P, Brooklyn",40.6090097,-73.9696341,3.2,41,"$55,977 ",2622.2046109510084
Food Universe Marketplace,"237-243 Avenue U, Brooklyn",40.5968732,-73.9754816,4.1,369,"$41,541 ",1502.564841498559
bp,"2978 Cropsey Avenue, Brooklyn",40.582438,-73.98643419999999,3.5,8,"$41,541 ",1502.564841498559
bp,"2317 Coney Island Avenue, Brooklyn",40.6003569,-73.96107119999999,2.9,32,"$64,106 ",2300.4322766570604
Super 13,"5214 13th Avenue, Brooklyn",40.6331255,-73.9943289,4.7,383,"$57,754 ",2757.665706051873
Breadberry,"1689 60th Street, Brooklyn",40.6238994,-73.9895516,4.6,1470,"$55,977 ",2622.2046109510084
Jerusalem Glatt Meat,"710 Kings Highway, Brooklyn",40.6061437,-73.9652104,4.4,83,"$64,106 ",2300.4322766570604
bp,"2624 Coney Island Avenue, Brooklyn",40.592651,-73.9610351,3.0,55,"$64,106 ",2300.4322766570604
Scaturro Supermarkets,"6301 11th Avenue, Brooklyn",40.6292643,-74.0048794,4.1,486,"$57,754 ",2757.665706051873
Biedronka,"5703 New Utrecht Avenue, Brooklyn",40.62966999999999,-73.995694,4.3,206,"$57,754 ",2757.665706051873
Chang Fa Food Market,"1418 Avenue U, Brooklyn",40.59858999999999,-73.9566651,3.9,283,"$64,106 ",2300.4322766570604
Parkville Food Center,"109 Lawrence Avenue, Brooklyn",40.6301513,-73.97501600000001,4.6,113,"$57,754 ",2757.665706051873
Organic Circle,"1415 Avenue M, Brooklyn",40.6180943,-73.96045819999999,4.3,248,"$66,097 ",2315.0432276657057
Glatt Mart,"1205 Avenue M, Brooklyn",40.6178385,-73.9626468,4.5,916,"$66,097 ",2315.0432276657057
Certo Market,"1274 39th Street, Brooklyn",40.6407025,-73.9867068,4.6,1413,"$57,754 ",2757.665706051873
Ocean Bay Market,"2424 Coney Island Avenue, Brooklyn",40.59754,-73.961446,4.0,504,"$64,106 ",2300.4322766570604
American Grocery Outlet,"2914 Coney Island Avenue, Brooklyn",40.5853694,-73.9606278,4.5,36,"$41,541 ",1502.564841498559
GSA King Tomato Farm Inc.,"1140 McDonald Avenue, Brooklyn",40.6253065,-73.9763816,4.4,291,"$57,754 ",2757.665706051873
bp,"3010 Ocean Avenue, Brooklyn",40.5877381,-73.9494799,3.9,302,"$64,106 ",2300.4322766570604
Paperific Supermarket,"1465 38th Street, Brooklyn",40.639037,-73.981608,4.6,320,"$57,754 ",2757.665706051873
Ocean Fruit & Supermarket Inc,"1986 Ocean Avenue, Brooklyn",40.6133421,-73.95437390000001,4.6,173,"$66,097 ",2315.0432276657057
Cherry Hill Gourmet (Ave U),"2613 Avenue U, Brooklyn",40.600221,-73.9449527,4.3,620,"$64,106 ",2300.4322766570604
Best Buy International Food,"411 Brighton Beach Avenue, Brooklyn",40.5776414,-73.96298089999999,4.3,214,"$41,541 ",1502.564841498559
Seaport Seafood & Meat Market Inc,"5705 8th Avenue, Brooklyn",40.6369208,-74.0078892,1.0,2,"$58,841 ",1818.8760806916423
Moisha's Supermarket,"315 Avenue M, Brooklyn",40.6169444,-73.9719444,4.3,684,"$55,977 ",2622.2046109510084
V&W Supermarket 樂樂超級市場,"2502 86th Street, Brooklyn",40.5975447,-73.98707639999999,3.8,445,"$55,977 ",2622.2046109510084
"Avi Glatt, Inc.","805 Avenue U, Brooklyn",40.5982787,-73.9627795,3.9,110,"$64,106 ",2300.4322766570604
NG Supermarket,"507 Cortelyou Road, Brooklyn",40.6385842,-73.9742957,3.8,55,"$57,754 ",2757.665706051873
Fruits-A-Plenty Inc,"1507 Kings Highway, Brooklyn",40.6089979,-73.9580321,4.3,58,"$64,106 ",2300.4322766570604
Bensonhurst Market,"7215 20th Avenue, Brooklyn",40.61204800000001,-73.9902713,3.7,357,"$55,977 ",2622.2046109510084
bp,"1982 Utica Avenue, Brooklyn",40.62319350000001,-73.92765779999999,2.1,9,"$66,097 ",2315.0432276657057
Flatbush Food Co-op,"1415 Cortelyou Road, Brooklyn",40.6412976,-73.96471989999999,4.3,1086,"$66,097 ",2315.0432276657057
Pathmark,"1525 Albany Avenue, Brooklyn",40.6355027,-73.9368326,4.3,598,"$66,097 ",2315.0432276657057
ALDI,"3785 Nostrand Avenue, Brooklyn",40.59125339999999,-73.9397973,4.2,2902,"$64,106 ",2300.4322766570604
Food Universe Marketplace,"2424 Flatbush Avenue, Brooklyn",40.61077410000001,-73.92405959999999,4.0,684,"$64,106 ",2300.4322766570604
Mill Basin Shuk,"6324 Avenue N, Brooklyn",40.61944899999999,-73.916378,4.6,126,"$76,340 ",2788.8040345821323
Ideal Food Basket of East Midwood,"1967 Flatbush Avenue, Brooklyn",40.621956,-73.93592029999999,4.2,462,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"5101 Avenue N, Brooklyn",40.6192964,-73.9252593,4.2,743,"$66,097 ",2315.0432276657057
Food Way,"Georgetowne Shopping Center, 2149 Ralph Avenue, Brooklyn",40.626094,-73.9158982,4.2,1642,"$76,340 ",2788.8040345821323
bp,"5001 Kings Highway, Brooklyn",40.6349455,-73.928291,4.1,81,"$60,811 ",2237.0605187319884
Wolf's Grocery,"2362 Nostrand Avenue, Brooklyn",40.6272087,-73.9471422,4.5,63,"$66,097 ",2315.0432276657057
Cherry Hill Gourmet Inc,"1901 Emmons Avenue, Brooklyn",40.5838861,-73.9487833,4.2,968,"$64,106 ",2300.4322766570604
CTown Supermarkets,"1761 Nostrand Avenue, Brooklyn",40.642808,-73.9484071,4.0,222,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"505 Neptune Avenue, Brooklyn",40.58002889999999,-73.9722852,4.2,672,"$41,541 ",1502.564841498559
Key Food Supermarkets,"319 Kings Highway, Brooklyn",40.6051624,-73.97838,4.0,996,"$55,977 ",2622.2046109510084
Key Food Supermarkets,"2245 Gerritsen Avenue #1154, Brooklyn",40.60122550000001,-73.9340533,4.0,1057,"$64,106 ",2300.4322766570604
Key Food Supermarket - Avenue Z,"599 Avenue Z, Brooklyn",40.58645009999999,-73.9717926,4.0,943,"$41,541 ",1502.564841498559
Cherry Hill Market,"2284 86th Street #1, Brooklyn",40.600605,-73.9919204,4.0,540,"$55,977 ",2622.2046109510084
Kosher Palace Supermarket,"2818 Avenue U, Brooklyn",40.600088,-73.943144,4.5,425,"$64,106 ",2300.4322766570604
Key Food Supermarkets,"6620 Avenue U, Brooklyn",40.6172155,-73.909436,4.3,735,"$76,340 ",2788.8040345821323
CTown Supermarkets,"2807-15 86th Street, Brooklyn",40.5930188,-73.97862409999999,3.7,214,"$41,541 ",1502.564841498559
Key Food Supermarkets,"2326 Nostrand Avenue, Brooklyn",40.62776749999999,-73.94732309999999,4.0,683,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"1610 Cortelyou Road, Brooklyn",40.6415845,-73.9632507,4.1,573,"$66,097 ",2315.0432276657057
Ideal Food Basket,"1871 Rockaway Parkway, Brooklyn",40.6369268,-73.8921472,4.2,275,"$76,340 ",2788.8040345821323
bp,"401 East 80th Street, Brooklyn",40.640977,-73.9189924,3.3,13,"$76,340 ",2788.8040345821323
Key Food Supermarkets,"2066 Rockaway Parkway #47, Brooklyn",40.6324644,-73.8888707,3.8,842,"$76,340 ",2788.8040345821323
Foodtown,"1958-66 Ralph Avenue, Brooklyn",40.6298691,-73.9189894,4.0,1840,"$76,340 ",2788.8040345821323
Key Food Supermarkets,"1804 Ralph Avenue, Brooklyn",40.6331516,-73.9190485,4.1,833,"$76,340 ",2788.8040345821323
Gourmet Boutique,"3688 Nostrand Avenue, Brooklyn",40.594089,-73.94096549999999,4.2,420,"$64,106 ",2300.4322766570604
Target Grocery,"5100 Kings Plaza Ste 2201, Brooklyn",40.6087292,-73.92036130000001,,0,"$64,106 ",2300.4322766570604
CTown Supermarkets,"7924 Flatlands Avenue, Brooklyn",40.63523300000001,-73.9133283,3.8,390,"$76,340 ",2788.8040345821323
Family Dollar,"1975 Utica Avenue, Brooklyn",40.6237693,-73.9269348,3.8,33,"$66,097 ",2315.0432276657057
Met Foodmarkets of Marine Park,"3404 Quentin Road, Brooklyn",40.6136576,-73.9379567,4.2,108,"$66,097 ",2315.0432276657057
Supermarket Of Ave N inc,"3524 Flatlands Avenue, Brooklyn",40.6176803,-73.9404249,4.5,173,"$66,097 ",2315.0432276657057
Produce Market 2000,"2518 Avenue U, Brooklyn",40.5997687,-73.9459229,4.3,737,"$64,106 ",2300.4322766570604
bp,"7702 Flatlands Avenue, Brooklyn",40.6341422,-73.9150183,4.0,43,"$76,340 ",2788.8040345821323
CTown Supermarket,"7812 Flatlands Avenue, Brooklyn",40.6345317,-73.9138426,5.0,1,"$76,340 ",2788.8040345821323
Deirdre Maeve's Supermarket,"202-36 Rockaway Point Boulevard, Breezy Point",40.5614151,-73.9124215,3.8,74,"$64,106 ",2300.4322766570604
Hana Market,"8002 Flatlands Avenue, Brooklyn",40.63551599999999,-73.912708,4.8,42,"$76,340 ",2788.8040345821323
Super Flat 99¢ Plus,"8123 Flatlands Avenue, Brooklyn",40.6364678,-73.912111,5.0,2,"$76,340 ",2788.8040345821323
Shop Smart Supermarket,"8123 Flatlands Avenue # B, Brooklyn",40.6365082,-73.91226069999999,3.9,18,"$76,340 ",2788.8040345821323
Shop Smart Kosher Supermarket,"2640 Nostrand Avenue, Brooklyn",40.62012800000001,-73.945921,4.3,453,"$66,097 ",2315.0432276657057
Sheepshead Bay Marketplace,"1717 Avenue Z, Brooklyn",40.5883695,-73.9518068,4.4,1591,"$64,106 ",2300.4322766570604
Target Grocery,"5200 Kings Highway Ste A, Brooklyn",40.63627040000001,-73.92707349999999,4.7,7,"$60,811 ",2237.0605187319884
Amoco,"1760 Flatbush Avenue, Brooklyn",40.62700899999999,-73.94184059999999,5.0,4,"$66,097 ",2315.0432276657057
Easy Shop Supermarket Inc. 欣榮超市,"1520 Avenue U, Brooklyn",40.5987005,-73.9556138,3.4,7,"$64,106 ",2300.4322766570604
Amoco,"4102 Avenue H, Brooklyn",40.632197,-73.936672,4.0,6,"$66,097 ",2315.0432276657057
Portokali Gourmet Market,"1509 Sheepshead Bay Road, Brooklyn",40.587381,-73.953667,4.5,919,"$64,106 ",2300.4322766570604
Bay Fresh Supermarket Inc,"1510 Sheepshead Bay Road, Brooklyn",40.587075,-73.9535933,4.0,13,"$64,106 ",2300.4322766570604
Domino Supermarket,"1824 Kings Highway, Brooklyn",40.61000000000001,-73.95479999999999,3.8,877,"$64,106 ",2300.4322766570604
Gmor Supermarket,"1569 Avenue S, Brooklyn",40.6039201,-73.9561367,,0,"$64,106 ",2300.4322766570604
DOLLAR TOWN,"1808 Kings Highway, Brooklyn",40.609913,-73.9551755,3.3,18,"$64,106 ",2300.4322766570604
Green Forest Market at Kings Highway,"1717 Kings Highway, Brooklyn",40.6099605,-73.9559201,4.3,528,"$64,106 ",2300.4322766570604
Deirdre Maeve's Summer Store,Queens,40.5589878,-73.91995779999999,,0,"$64,106 ",2300.4322766570604
Big Banana,"1709 Kings Highway, Brooklyn",40.6098338,-73.9561619,4.1,334,"$64,106 ",2300.4322766570604
L & J Supermarket II Inc.,"1252 Avenue U, Brooklyn",40.5983773,-73.9583571,4.4,7,"$64,106 ",2300.4322766570604
勝興超級市場 A&C Seafood & Meat Market,"1237 Avenue U, Brooklyn",40.5987829,-73.95864449999999,3.9,123,"$64,106 ",2300.4322766570604
OKKA FOODS MARKET,"1524 Kings Highway, Brooklyn",40.60877929999999,-73.9575194,4.9,1366,"$64,106 ",2300.4322766570604
Avenue I,"1667 Flatbush Avenue, Brooklyn",40.6298283,-73.9441183,,0,"$66,097 ",2315.0432276657057
Halal Products,"1667 Flatbush Avenue, Brooklyn",40.6297732,-73.94418650000001,5.0,1,"$66,097 ",2315.0432276657057
bp,"10017 Beach Channel Drive, Rockaway Park",40.5858292,-73.8227424,3.1,31,"$51,643 ",1057.7552897884084
Key Food Supermarkets,"87-15 Rockaway Beach Boulevard, Far Rockaway",40.58696459999999,-73.8125896,3.8,855,"$51,643 ",1057.7552897884084
AAA,"69-15 Beach Channel Drive, Far Rockaway",40.59256329999999,-73.7989125,4.7,53,"$51,643 ",1057.7552897884084
Food Universe,"32-11 Beach Channel Drive, Far Rockaway",40.5982026,-73.7660006,4.0,598,"$51,643 ",1057.7552897884084
Rockaway Kosher Supermarket,"1913 Cornaga Avenue, Far Rockaway",40.60209640000001,-73.7519612,4.6,342,"$51,643 ",1057.7552897884084
Shop Fair of Cornaga,"1801 Cornaga Avenue, Far Rockaway",40.602473,-73.749737,3.7,105,"$51,643 ",1057.7552897884084
Three Brothers Meat Market,"1326 Central Avenue, Far Rockaway",40.6070484,-73.7499342,4.4,165,"$51,643 ",1057.7552897884084
Mango Hills Supermarket,"290 Beach 14th Street, Far Rockaway",40.59795450000001,-73.74809979999999,3.8,56,"$51,643 ",1057.7552897884084
Key Food Supermarkets,"2020 New Haven Avenue, Far Rockaway",40.6010937,-73.75431499999999,4.1,762,"$51,643 ",1057.7552897884084
Newway Supermarket,"58-14 Beach Channel Drive, Arverne",40.5943395,-73.78889280000001,3.8,210,"$51,643 ",1057.7552897884084
SuperFresh Arverne,"5725 Beach 56th Place, Arverne",40.59182070000001,-73.7876989,,0,"$51,643 ",1057.7552897884084
Polo Supermarket,"22-18 Mott Avenue, Far Rockaway",40.6055399,-73.7557745,4.1,193,"$51,643 ",1057.7552897884084
Shop Fair of Wavecrest,"245 Beach 20th Street, Far Rockaway",40.5965906,-73.7547984,3.9,286,"$51,643 ",1057.7552897884084
Shop Fair of Beach Channel,"13-29 Beach Channel Drive, Far Rockaway",40.6060608,-73.7549937,4.0,438,"$51,643 ",1057.7552897884084
bp,"1346 Beach Channel Drive, Far Rockaway",40.6065546,-73.754423,1.0,2,"$51,643 ",1057.7552897884084
Inwood Discount Supermarket,"414 Bayview Avenue, Inwood",40.6146188,-73.7521415,3.4,16,"$51,643 ",1057.7552897884084
City Market Fresh,"290 Beach 14th Street, Far Rockaway",40.59795079999999,-73.7479575,4.1,30,"$51,643 ",1057.7552897884084
Inwood Deli & Grocery,"83 Doughty Boulevard, Inwood",40.6140804,-73.7462058,4.2,78,"$51,643 ",1057.7552897884084
Gourmet Glatt Cedarhurst,"137 Spruce Street, Cedarhurst",40.6216047,-73.72627659999999,4.4,391,"$68,682 ",2078.371665133395
Seasons Lawrence - Kosher Supermarket,"330 Central Avenue, Lawrence",40.6178316,-73.7298776,4.5,672,"$68,682 ",2078.371665133395
Express Market & Deli productos centroamericanos,"1 Clinton Avenue, Inwood",40.6162692,-73.738869,4.8,20,"$68,682 ",2078.371665133395
KolSave Market,"11 Lawrence Lane, Lawrence",40.625312,-73.7378889,4.6,509,"$68,682 ",2078.371665133395
Target Grocery,"345 Rockaway Turnpike, Lawrence",40.6263352,-73.73840799999999,3.8,5,"$68,682 ",2078.371665133395
Key Food Supermarkets,"1080 West Beech Street, Long Beach",40.5858749,-73.7002522,4.3,190,"$51,643 ",1057.7552897884084
ShopRite of Bayonne-26 Street,"583-9 Avenue C &, West 26th Street, Bayonne",40.6674174,-74.1189846,4.2,3349,"$72,727 ",1900.704347826087
Shop Smart,"368 Broadway # A, Bayonne",40.6596298,-74.1217053,4.0,16,"$72,727 ",1900.704347826087
Karun Deli and Grocery,"1224 John F. Kennedy Boulevard, Bayonne",40.6888562,-74.1057369,3.7,31,"$72,727 ",1900.704347826087
bp,"1505 John F. Kennedy Boulevard, Jersey City",40.6936164,-74.1015938,2.6,14,"$72,727 ",1900.704347826087
Jeffrey Supermarket,"102 Ocean Avenue, Jersey City",40.691999,-74.094634,4.1,37,"$72,727 ",1900.704347826087
Mexico Supermarket Monte Alban,"170 Port Richmond Avenue, Staten Island",40.6370618,-74.1343849,4.3,223,"$72,727 ",1900.704347826087
Aquí Market Garfield Ave,"2-16 Garfield Avenue, Jersey City",40.6852943,-74.0984402,3.9,889,"$72,727 ",1900.704347826087
Teddy’s Place,"5 West 25th Street, Bayonne",40.6658932,-74.11711280000002,4.5,471,"$72,727 ",1900.704347826087
CTown Supermarkets,"782 Broadway, Bayonne",40.6738303,-74.1096204,4.1,414,"$72,727 ",1900.704347826087
Met Fresh of Bayonne,"400 Broadway, Bayonne",40.66069280000001,-74.1206535,4.7,28,"$72,727 ",1900.704347826087
Lidl,"20 Goldsborough Drive, Bayonne",40.6707,-74.10705,4.4,880,"$72,727 ",1900.704347826087
